ingreso_mensual,antiguedad_empresa,tipo_plan,servidor_propio,accesos_api,servicios_activos,monto_suscripcion,rubro_empresa,tamano_empresa,cantidad_empleados,cancelo_servicio
164125.19,20,empresarial,True,13,6,1263.66,tecnologia,mediana,117,False
29826.35,22,profesional,False,6,2,519.57,educacion,pequena,2,False
327997.37,8,empresarial,False,25,1,1301.95,tecnologia,grande,1044,False
126841.09,11,profesional,True,6,8,408.12,tecnologia,mediana,182,True
22125.29,29,basico,False,2,4,182.75,salud,pequena,39,True
389887.88,26,personalizado,True,48,7,2667.23,comercio,grande,390,False
29607.42,12,empresarial,False,25,7,950.1,servicios,pequena,39,False
45178.09,7,empresarial,False,21,0,1101.12,comercio,pequena,24,True
26772.3,9,basico,False,0,6,159.0,manufactura,pequena,2,True
150558.03,16,profesional,True,9,3,455.53,educacion,mediana,58,False
26775.21,17,basico,False,2,8,135.43,salud,pequena,24,False
25224.8,5,personalizado,True,29,1,2169.6,salud,pequena,21,True
12206.1,2,profesional,True,2,0,387.47,educacion,pequena,40,True
36105.63,15,empresarial,True,17,5,981.07,servicios,pequena,21,False
19978.75,24,profesional,False,9,4,436.43,comercio,pequena,43,False
18529.52,4,basico,True,2,4,182.85,tecnologia,pequena,11,False
37812.31,12,profesional,True,4,2,489.14,salud,pequena,20,False
36582.23,5,basico,False,2,4,156.15,servicios,pequena,38,True
50286.61,7,empresarial,False,49,8,1262.77,tecnologia,mediana,212,False
21378.09,18,profesional,False,6,6,492.16,educacion,pequena,17,False
137833.06,8,empresarial,False,37,8,1000.1,servicios,mediana,90,False
24401.46,8,basico,True,0,2,142.53,manufactura,pequena,30,True
32825.18,30,personalizado,False,34,7,2185.31,servicios,pequena,39,False
40535.65,5,empresarial,False,37,3,1231.98,salud,pequena,26,False
28681.47,5,empresarial,False,12,8,1163.5,salud,pequena,43,False
44748.91,28,basico,False,2,7,153.66,comercio,pequena,44,False
108727.89,17,profesional,False,4,1,495.22,servicios,mediana,243,True
22652.01,1,basico,True,3,8,192.98,comercio,pequena,7,False
33287.11,13,basico,False,2,5,148.71,manufactura,pequena,30,False
96893.13,17,profesional,False,8,6,487.84,educacion,mediana,89,False
44982.89,7,empresarial,True,29,5,1172.78,salud,pequena,12,False
36868.91,16,personalizado,False,32,1,2696.73,manufactura,pequena,16,True
25256.74,20,basico,False,2,8,176.79,educacion,pequena,33,False
22833.07,7,basico,False,0,1,176.71,servicios,pequena,22,True
30760.7,25,profesional,True,11,7,423.31,educacion,pequena,43,False
67873.99,14,basico,True,1,1,157.81,salud,mediana,147,True
469794.21,29,basico,False,2,7,182.25,comercio,grande,803,False
29545.32,2,profesional,False,2,3,459.76,educacion,pequena,38,True
72662.73,10,basico,False,3,2,193.94,educacion,mediana,241,True
157506.82,22,profesional,False,10,2,456.37,tecnologia,mediana,137,False
23378.65,27,profesional,False,6,2,483.28,tecnologia,pequena,37,False
126317.88,6,empresarial,True,36,8,1169.89,salud,mediana,233,False
80729.45,30,empresarial,True,48,6,1149.66,salud,mediana,124,False
603791.31,5,basico,False,2,6,184.58,salud,grande,561,False
580484.87,12,empresarial,True,28,5,1011.86,tecnologia,grande,518,True
16346.22,9,empresarial,True,9,3,1215.99,comercio,pequena,39,False
32166.31,13,profesional,False,2,8,507.77,tecnologia,pequena,46,False
38666.79,27,basico,False,2,2,184.96,manufactura,pequena,42,False
41244.98,22,profesional,True,10,8,505.86,servicios,pequena,21,True
27033.65,24,basico,False,0,3,192.3,comercio,pequena,37,True
477298.94,7,basico,True,3,3,186.37,salud,grande,1315,False
23464.5,29,basico,False,3,4,151.04,tecnologia,pequena,28,True
30280.19,13,empresarial,False,30,6,1360.65,comercio,pequena,4,False
80513.13,20,profesional,True,2,6,576.59,tecnologia,mediana,136,False
25582.64,21,empresarial,False,46,6,1062.31,comercio,pequena,48,False
26377.54,20,empresarial,False,26,0,1237.05,salud,pequena,34,True
581685.54,18,profesional,False,4,1,439.57,servicios,grande,414,False
22058.48,14,profesional,False,9,7,514.04,comercio,pequena,13,False
22575.03,20,basico,False,3,8,133.82,salud,pequena,49,False
42073.62,28,basico,False,3,1,177.06,manufactura,pequena,28,True
383803.81,12,profesional,False,5,8,467.51,servicios,grande,1162,False
